許載は「大きな試合をたくさん経験したため、危機突破と機会活用には自信がある」と話した。	许财说：“因为经历过很多次大赛，我很有自信突破危机度过难关。”
年がら年中 練習ばっかやってる私学の野球ゴリラどもには	那些一年到头都在训练的私立学校的棒球猩猩们
李承鎏は先月３０日、甲子園球場で行われた日本プロ野球阪神との遠征試合で、１塁手兼５番打者に先発出場し、３打数３安打１打点１得点を記録し、チームの３—２の勝利をけん引した。	上个月30日，在阪神甲子园球场召开的日本棒球比赛中，一垒手兼五号击球手李承烨获得3打数3安打1打点、1得分。
韓国語版には、「冬季五輪と大韓民国」「冬季五輪のスターたち」などが追加された。	韩文版中则添加了有关“冬季奥运会和大韩民国”“冬奥会群星”的内容。
この大会は今年、主要大会での成績によって、種目別上位８人（組）だけが出場し、賞金総額１００万ドル（約１１億ウォン）を争う王者を決める戦いだ。	本次总决赛是依据各主要大赛的成绩，按照项目种类列入前8的选手（组合）才可以参赛，总奖金达到100万美元（11亿韩元），是一项王中王赛事。
ハン・ジュンヒＫＢＳ解説委員は、「韓国サッカーを長期的に見据えると、検証済みの国内監督に任せる戦略が求められる。	KBS评论员韩俊熙表示：“若长期看韩国足球的话，我们需要相信并把队伍交给已通过考验的国内指挥。
監督の力量によって、代表チームが完全に様変わりできる」と肯定的に評価した。	按照主教练的能力可以彻底改变国家队的面貌。”
こりゃかなり幸先のいいスタートになったんじゃねえのか，蓮	看来他给这场比赛开了个好头啊，莲
初めて正式競技になった五輪のスポーツクライミングには男女コンバインに金メダル１つがかかっている。	首次成为正式比赛项目的奥运会攀岩比赛中，男女混合各设一枚金牌。
最近、フランスリーグを３連覇したリオンは、強力な組織力を誇る。	最近在法国联赛惨遭3连败的里昂队对球队的配合能力非常自信。
「新年の初試合で得点して嬉しい。	“非常高兴能在新年首场比赛取得进球。
金鍾徳（キム・ジョンドク、４１、リビングトイ）も同日、右腕筋肉の負傷にもかかわらず１０位タイ（３アンダー・６８打）で善戦した。	金钟德（41岁，Livingtoy）不顾右臂肌肉拉伤的痛苦，也在当天的比赛上并列排在第10位（低于标准杆3杆的68杆）。
５月の６試合で安打７本を打ったが、本塁打２本と二塁打５本でいずれも長打だった。	秋信守在进入5月份以来的6场比赛中，打出了7支安打即2支本垒打和5支2垒长打。
絶対　甲子園に行かなきゃ！	绝对要 征战甲子园！
えっ？バレーの練習	诶？排球的练习
桜木君 バスケ部に 入部届 出しときましたから	樱木 我已经替你报名篮球队了
星野監督は昨年１２月、北京五輪のアジア予選で、韓国が偽装オーダーを出したことについて「フェアプレー精神に反する」として猛非難した。	星野教练在去年12月份北京奥运会亚洲预选赛中对韩国伪造次序进行了猛烈的指责，说“有违比赛精神”。
母親は息子の試合を欠かさず録画し、ときには競技場にも足を運ぶ。	只要是儿子的比赛，母亲就一场不落地录下来，而且还经常前往球场观看比赛。
へえ まだ30分前だっていうのに すごい入りね	现在才是比赛前三十分钟 观众就涌进来这么多了
くだらない雑談を遮断し、サッカーに対する研究と訓練のため、効果的な急速をとれる雰囲気をつくるとの計算だ。	这是为了杜绝没有用的闲谈，创造出为了对足球的研究和训练氛围，并让队员充分休息。
イ・グァンヨンは、「ウクライナとの決勝（１－３の敗戦）の後半にゴールに祈らなかった。	李光渊遗憾地表示：“在与乌克兰的决赛(1比3韩国败北)下半场，我没能进行‘门柱祈祷’。
ダニエル・ギブソンは２５得点の中で２０点を前半に決めた。	丹尼尔˙吉普森共获25分，20分都在前半场获得。
だからこそ特別な試合にしてやるさ	所以，我要让这次比赛变得更加特别
田中ナイスキー	田中 扣得漂亮
田岡の言う 湘北の不安要素も	田冈教练指出的湘北的不安要素
浦項はレギュラリーグで５位を占めて、６強のプレーオフに進んだ後、６強のプレーオフ、準プレーオフ、プレーオフで４位の慶南（キョンナム）ＦＣ、３位の蔚山現代（ウルサン・ヒョンデ）、２位の水原三星（スウォン・サムスン）を連覇して、チャンピオン決定戦まで勝ち進んだ。	浦项制铁在正规赛中以5位的成绩晋升到了6强，并在6强和4强的比赛中连胜了庆南FC、尉山现代、水原三星，晋升到了总决赛。
２００１年は５４ヵ所も営業したが、２００２年のサッカーワールドカップ韓日共催を機に消費が低迷して、現在は２２カ所となっている。	2001年营业所一度多达54处，但以2002年韩日世界杯为契机消费放缓后目前还有22处场所。
