許載は「大きな試合をたくさん経験したため、危機突破と機会活用には自信がある」と話した。	许财说：“因为经历过很多次大赛，我很有自信突破危机度过难关。”
李承鎏は先月３０日、甲子園球場で行われた日本プロ野球阪神との遠征試合で、１塁手兼５番打者に先発出場し、３打数３安打１打点１得点を記録し、チームの３—２の勝利をけん引した。	上个月30日，在阪神甲子园球场召开的日本棒球比赛中，一垒手兼五号击球手李承烨获得3打数3安打1打点、1得分。
ハン・ジュンヒＫＢＳ解説委員は、「韓国サッカーを長期的に見据えると、検証済みの国内監督に任せる戦略が求められる。	KBS评论员韩俊熙表示：“若长期看韩国足球的话，我们需要相信并把队伍交给已通过考验的国内指挥。
こりゃかなり幸先のいいスタートになったんじゃねえのか，蓮	看来他给这场比赛开了个好头啊，莲
金鍾徳（キム・ジョンドク、４１、リビングトイ）も同日、右腕筋肉の負傷にもかかわらず１０位タイ（３アンダー・６８打）で善戦した。	金钟德（41岁，Livingtoy）不顾右臂肌肉拉伤的痛苦，也在当天的比赛上并列排在第10位（低于标准杆3杆的68杆）。
えっ？バレーの練習	诶？排球的练习
桜木君 バスケ部に 入部届 出しときましたから	樱木 我已经替你报名篮球队了
星野監督は昨年１２月、北京五輪のアジア予選で、韓国が偽装オーダーを出したことについて「フェアプレー精神に反する」として猛非難した。	星野教练在去年12月份北京奥运会亚洲预选赛中对韩国伪造次序进行了猛烈的指责，说“有违比赛精神”。
へえ まだ30分前だっていうのに すごい入りね	现在才是比赛前三十分钟 观众就涌进来这么多了
だからこそ特別な試合にしてやるさ	所以，我要让这次比赛变得更加特别
浦項はレギュラリーグで５位を占めて、６強のプレーオフに進んだ後、６強のプレーオフ、準プレーオフ、プレーオフで４位の慶南（キョンナム）ＦＣ、３位の蔚山現代（ウルサン・ヒョンデ）、２位の水原三星（スウォン・サムスン）を連覇して、チャンピオン決定戦まで勝ち進んだ。	浦项制铁在正规赛中以5位的成绩晋升到了6强，并在6强和4强的比赛中连胜了庆南FC、尉山现代、水原三星，晋升到了总决赛。
実は，昨日の試合…	其实，在昨天的比赛中…
またか，ゴール下からパスを捌くパターン	又来这一招吗，在篮下改为传球
自分の価値を，落とすことはないなんて言うから。	为了体育比赛而掉了自己身价
やったな，バスケ部，とうとう，決勝リーグだって	篮球队的人干得不错耶，他们竟然能够参加决赛
試合終了後、ＮＨＬのゲリー・ベトマン・カミシャナーが、ＭＶＰとしてジゲールの名を呼ぶと、コンチネンタル・エアラインス・アレナーに集まったニュージャージーのファンは一斉にやゆを飛ばしたが、ニュージャージーのＧＫブロデューアは、「彼はトロフィーをもらう資格がある」と勝者の余裕を見せた。	在比赛结束后，NHL的主持人盖利·贝特曼宣布MVP获得者是吉古埃尔时，大陆航空球馆内的新泽西球迷一致提出了异议，但新泽西的守门员布罗迪奥称：“他有资格获得这一荣誉。”
これからの試合は チーム全員で戦い抜くぞ	接下来的比赛 要靠全队的共同努力赢下去
お前らがバカスカ点取るから終わっちまったじゃねえかよ	都怪你们光顾着得分 提前结束了比赛
朴主永が今回の合宿でボディーチェックを避けて、消極的なプレーをしたのは事実だ。	在此次转地训练中，朴周永确实在逃避身体对抗，消极参加比赛。
遅れちまったか，ズシって奴は何試合目だ	来迟了吗，不知道智喜那家伙比了几场了
[サッカー］安貞桓、開幕戦無得点	[足球]安贞桓在揭幕战中没有得分
得点力（韓国７ゴール、豪州５ゴール）と歴代の対戦成績（１０勝２分け２敗と韓国優位）などで韓国が上回っているが、最近の２度の対戦だけを見ると優劣がつかない。	虽然韩国队在进球能力(韩国7球，澳大利亚5球)和历史交锋战绩(10胜2平2负•韩国优势)等方面处于领先地位，但从最近两次交锋来看，两队可谓势均力敌。
②１９８４年のサラエボ冬季オリンピック。	②1984年萨拉热窝冬奥会。
